index,name,rule_count
17.8.2,Proto-Indo-European to Attic Greek,45
17.8.3,Proto-Indo-European to Boeotian Greek,16
17.8.4,Proto-Indo-European to Coan Greek,15
17.8.5,Proto-Indo-European to Cretan Greek,14
17.8.6,Proto-Indo-European to Doric Greek,17
17.8.7,Proto-Indo-European to Elian Greek,15
17.8.8,Proto-Indo-European to Ionic Greek,33
17.8.9,Proto-Indo-European to Laconian Greek,15
17.8.10,Proto-Indo-European to Mycenaean Greek,12
17.9,Proto-Indo-European to Hittite,19
17.10,Proto-Indo-European to Proto-Indo-Iranian,20
17.10.1,Proto-Indo-Iranian to Proto-Indo-Aryan,26
17.10.1.1,Proto-Indo-Aryan to Central Middle Indo-Aryan,18
17.10.1.2,Proto-Indo-Aryan to Eastern Middle Indo-Aryan,20
17.10.1.3,Proto-Indo-Aryan to Northwestern Middle Indo-Aryan,19
17.10.1.4,Proto-Indo-Aryan to Western Middle Indo-Aryan,18
17.10.1.5,Proto-Indo-Aryan to Vedic Sanskrit,10
17.10.1.5.1,Vedic Sanskrit to Classical Sanskrit,4
17.11,Proto-Indo-European to Proto-Slavic,28
17.11.1,Proto-Slavic to Polish,146
17.11.2,Proto-Slavic to Old Russian,12
17.12,Proto-Indo-European to Proto-Italic,7
17.12.1,Proto-Italic to Proto-Latino-Falsican,12
17.12.1.1,Proto-Indo-European to Latin,117
17.12.1.1.1,Classical Latin vs. Vulgar Latin,20
17.12.1.1.2,Latin to Catalan,115
17.12.1.1.3,Latin to French,129
17.12.1.1.4,Vulgar Latin to Italian,23
17.12.1.1.5,Latin to Portuguese,126
17.12.1.1.6,Vulgar Latin to Old Provençal,274
17.12.1.1.7,Vulgar Latin to Rhaeto-Romance,8
17.12.1.1.8,Latin to Romanian,79
17.12.1.1.9,Latin to Sardinian,36
17.12.1.1.10,Vulgar Latin to Spanish,91
17.12.2,Proto-Italic to Proto-Sibellian,5
17.12.2.1,Proto-Sibellian to Oscan,1
17.12.2.2,Proto-Sibellian to Umbrian,1
17.13,Proto-Indo-European to Proto-Tocharian,41
17.13.1,Proto-Tocharian to Tocharian A,13
17.13.2,Proto-Tocharian to Tocharian B,9
18,Je-Tupı́-Carib,0
18.1,Cariban,0
18.1.1,Pre-Bakairi to Eastern Bakairi,3
18.1.2,Pre-Bakairi to Western Bakairi,8
18.2,Ofaié-Jê,0
18.2.1,Proto-Ofaié-Jê to Proto-Jê,5
18.2.2,Proto-Ofaié-Jê to Ofaié-Xavante,8
18.3,Tuparí,0
18.3.1,Proto-Tuparí to Makuráp,19
18.3.2,Proto-Tuparí to Mekens,18
18.3.3,Proto-Tuparí to Tuparí,14
18.3.4,Proto-Tuparí to Wayoró,15
18.4,Tupí-Guaraní,0
18.4.1,Proto-Tupí-Guaraní to Akwára,12
18.4.2,Proto-Tupí-Guaraní to Cocama,17
18.4.3,Proto-Tupí-Guaraní to Guajajara,9
18.4.4,Proto-Tupí-Guaraní to Guaraní,8
18.4.5,Proto-Tupí-Guaraní to Guarayo,7
18.4.6,Proto-Tupí-Guaraní to Kamayurá,7
18.4.7,Proto-Tupí-Guaraní to Parintintín,8
18.4.8,Proto-Tupí-Guaraní to Sirionó,17
18.4.9,Proto-Tupí-Guaraní to Classical Tupi,3
18.4.9.1,Tupian,0
18.4.9.1.1,Proto-Monde to Gavião,2
18.4.9.1.2,Proto-Monde to Proto-Cinta Larga-Suruí-Zoró,4
18.4.9.1.3,Proto-Cinta Larga-Suruí-Zoró to Cinta Larga,3
18.4.9.1.4,Proto-Cinta Larga-Suruí-Zoró to Suruí,3
18.4.9.1.5,Proto-Cinta Larga-Suruí-Zoró to Zoró,4
18.4.10,Proto-Tupí-Guaraní to Urubu,13
19,Kartvelian,0
19.1,Proto-Kartvelian to Georgian,6
19.2,Proto-Kartvellian to Svan,6
19.3,Proto-Kartvelian to Zan,7
20,Khoisan,0
20.1,Khoe,0
20.1.1,Proto-Khoe to Ç̬Ana,7
20.1.2,Proto-Khoe to ÇAni,6
20.1.3,Proto-Khoe to Buga,6
20.1.4,Proto-Khoe to Kxoe,6
20.1.5,Proto-Khoe to Nama,7
20.1.6,Proto-Khoe to Naro,3
20.1.7,Proto-Khoe to !Ora,5
20.1.8,Proto-Khoe to Teti,7
20.1.9,Proto-Khoe to TsÊixa,7
20.1.10,Proto-Khoe to Ç̬Ui,5
20.2,Kx’a,0
20.2.1,Proto-Kx’a to ÇHoan,10
20.2.2,Proto-Kx’a to Northwestern !Xun,13
20.2.3,Proto-Kx’a to Southeastern !Xun,14
21,Lakes Plain,0
21.1,Proto-Lakes Plain to Proto-Far West,6
21.1.1,Proto-Far West to Awera,6
21.1.2,Proto-Far West to Saponi,5
21.1.3,Proto-Far West to Rasawa,4
21.2,Proto-Lakes Plain to Proto-Tariku,1
21.2.1,Proto-Tariku to Proto-Central Tariku,8
21.2.1.1,Proto-Central Tariku to Edopi,8
21.2.1.2,Proto-Central Tariku to Iau,6
21.2.2,Proto-Tariku to Proto-East Tariku,4
21.2.2.1,Proto-East Tariku to Biritai,7
21.2.2.2,Proto-East Tariku to Doutai,6
21.2.2.3,Proto-East Tariku to Eritai,7
21.2.2.4,Proto-East Tariku to Kai,5
21.2.2.5,Proto-East Tariku to Obokuitai,5
21.2.2.6,Proto-East Tariku to Sikaritai,6
21.2.2.7,Proto-East Tariku to Waritai,8
21.2.3,Proto-Tariku to Proto-West Tariku,4
21.2.3.1,Proto-West Tariku to Deirate,5
21.2.3.2,Proto-West Tariku to Faia,4
21.2.3.3,Proto-West Tariku to Fayu,5
21.2.3.4,Proto-West Tariku to Kirikiri,5
21.2.3.5,Proto-West Tariku to Sehudate,5
21.2.3.6,Proto-West Tariku to Tause,5
21.2.3.7,Proto-West Tariku to Weirate,5
22,Macro-Arawakan,0
22.1,Proto-Arawá to Arawá,6
22.2,Proto-Arawá to Banawá-Jamamadi,7
22.3,Proto-Arawá to Hypothetical Arawán Substrate,5
22.4,Proto-Arawá to Jarawara,8
22.5,Proto-Arawá to Kulína-Dení,6
22.6,Proto-Arawá to Sorowahá,8
22.7,Proto-Arawá to Paumarí,5
23,Macro-Chibchan,0
23.1,Lenmichian,0
23.1.1,Proto-Lenmichian to Proto-Chibchan,2
23.1.1.1,Chibchan,0
23.1.1.1.1,Proto-Chibchan to Arhuaco,11
23.1.1.1.2,Proto-Chibchan to Chibcha,19
23.1.1.1.3,Proto-Chibchan to Kogi,10
23.1.1.1.4,Proto-Chibchan to Marocacero,9
23.1.1.1.5,Proto-Chibchan to Motilón,18
23.1.1.1.6,Proto-Chibchan to Tunebo,15
23.1.2,Proto-Lenmichian to Proto-Lencan,5
23.1.3,Proto-Lenmichian to Proto-Misumalpan,4
24,Macro-Pama-Nyungan,0
24.1,Paman,0
24.1.1,Proto-Paman to AritinÅitiÉ£,6
24.1.2,Proto-Paman to AwÅtim,8
24.1.3,Proto-Paman to LinÅitiÉ£,4
24.1.4,Proto-Paman to Mbiywom,6
24.1.5,Proto-Paman to Mpalican,3
24.1.6,Proto-Paman to UraÃ°i,2
24.1.7,Proto-Paman to Yinwum,8
25,Macro-Panoan,0
25.1,Tacanan,0
25.1.1,Proto-Tacanan to Cavineña,4
25.1.2,Proto-Tacanan to Chama,8
25.1.3,Proto-Tacanan to Reyesano,8
25.1.4,Proto-Tacanan to Tacana,11
26,Mande,0
