section_index,section_name,rule_id,alt_idx,source,whole_ok,failure_class,input_ok,output_ok,env_ok,exception_ok,input_class,output_class,env_class,exception_class,input_description,output_description,env_description,exception_description,blame
6.1.1.7,North Omotic to Yemsa,Yemsa-sx,,index_diachronica_original.html:1113,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {s₁,s₂,s₃} | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-h1,0,index_diachronica_original.html:1116,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₁' | h₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-h1,1,index_diachronica_original.html:1116,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₁' | h₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-h2,,index_diachronica_original.html:1117,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | h₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-dʼ,,index_diachronica_original.html:1119,True,,False,True,,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | dʼ | ^^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-r,1,index_diachronica_original.html:1120,True,,True,False,True,,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | lː | ^ @ Rule 1, Line 1",,,output
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-x1,,index_diachronica_original.html:1129,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-x2,,index_diachronica_original.html:1130,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-x2_2,,index_diachronica_original.html:1131,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-x2_3,,index_diachronica_original.html:1132,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-x3,,index_diachronica_original.html:1133,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-tsː,,index_diachronica_original.html:1134,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | tsː | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,"Zayse-Zergulla-s1,s3",,index_diachronica_original.html:1135,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {s₁,s₃} | ^ @ Rule 1, Line 1",,,,input
6.1.1.8,North Omotic to Zayse-Zergulla,Zayse-Zergulla-s2,,index_diachronica_original.html:1136,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1",,,,input
6.1.2.1,South Omotic to Aari,Aari-pʼ,,index_diachronica_original.html:1147,True,,True,False,,,,syntax_other,,,,"Syntax Error: Expected end of line, received 'ʼ'. Did you forget a '/' between the output and environment? | {b,p}ʼ | ^ @ Rule 1, Line 1",,,output
6.1.2.1,South Omotic to Aari,"Aari-x1,x2",,index_diachronica_original.html:1149,False,nested_brackets,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | {x₁,x₂} | ^ @ Rule 1, Line 1",,,,input
6.1.2.1,South Omotic to Aari,Aari-s1-s2-s3,,index_diachronica_original.html:1152,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | s₁ s₂ s₃ | ^ @ Rule 1, Line 1",,,,input
6.1.2.1,South Omotic to Aari,Aari-h1,,index_diachronica_original.html:1153,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | h₁ | ^ @ Rule 1, Line 1",,,,input
6.1.2.2,South Omotic to Dime,Dime-kʼ,,index_diachronica_original.html:1160,True,,True,False,True,,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | ɡʼ | ^^ @ Rule 1, Line 1",,,output
6.1.2.2,South Omotic to Dime,Dime-s1,,index_diachronica_original.html:1163,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | s₁ | ^ @ Rule 1, Line 1",,,,input
6.1.2.2,South Omotic to Dime,Dime-s2-s3,,index_diachronica_original.html:1164,True,,False,False,True,,unknown_character,unknown_character,,,"Syntax Error: Unknown character '₂' | s₂ s₃ | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | tʃː tʃ | ^ @ Rule 1, Line 1",,,input|output
6.2.1.1.1,Proto-Agaw to Awngi,"Awngi-x,ɢʷ",,index_diachronica_original.html:1185,True,,False,True,True,,syntax_other,,,,"Syntax Error: Expected an IPA character, Primative or Matrix, but received 'ʷ' | {x,ɢ}(ʷ) | ^ @ Rule 1, Line 1",,,,input
