,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
124,0C5,fat,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0C6,sex,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,0C7,female,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0C8,male,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0CA,sense,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,0CB,pain,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,0CC,pleasure,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,0CD,tired,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0CF,sleep,body terms,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
133,0D0,awake,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0D2,bite,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
135,0D6,have sex (with),bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,0D8,cry out,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
137,0D9,cry,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
138,0DC,drink,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
139,0E3,jump,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
140,0E4,kick,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
141,0E6,kiss,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
142,0E7,laugh,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
143,0EA,run,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
144,0ED,smile,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,0EE,sneeze,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
146,0F3,swim,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
147,0F4,taste,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
148,0F6,touch,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
149,0F8,walk,bodily actions,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
150,0FA,animal,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,0FB,ant,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,0FD,bee,animal species and types,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
